lng,lat,height,type
103.90542,31.336431,1733.743,0
103.90542,31.33615322,1731.723,0
103.90542,31.33587544,1729.719,0
103.90542,31.33559767,1727.305,0
103.90542,31.33531989,1724.797,0
103.90542,31.33504211,1722.719,0
103.90542,31.33476433,1717.76,0
103.90542,31.33448656,1713.12,0
103.90542,31.33420878,1707.784,0
103.90542,31.333931,1701.013,0
103.90542,31.33365322,1694.013,0
103.90542,31.33337544,1687.013,0
103.90542,31.33309767,1674.488,0
103.90542,31.33281989,1660.562,0
103.90542,31.33254211,1646.997,0
103.90542,31.33226433,1641.104,0
103.90542,31.33198656,1635.719,0
103.90542,31.33170878,1631.032,0
103.90542,31.331431,1628.233,0
103.90542,31.33115322,1625.725,0
103.90542,31.33087544,1623.213,0
103.90542,31.33059767,1613.954,0
103.90542,31.33031989,1603.904,0
103.90542,31.33004211,1593.514,0
103.90542,31.32976433,1576.677,0
103.90542,31.32948656,1558.701,0
103.90542,31.32920878,1540.725,0
103.90542,31.328931,1531.627,0
103.90542,31.32865322,1524.115,0
103.90542,31.32837544,1516.603,0
103.90542,31.32809767,1510.374,0
103.90542,31.32781989,1504.353,0
103.90542,31.32754211,1498.329,0
103.90542,31.32726433,1492.76,0
103.90542,31.32698656,1487.252,0
103.90542,31.32670878,1481.74,0
103.90542,31.326431,1478.793,0
103.90542,31.32615322,1475.871,0
103.90542,31.32587544,1473.305,0
103.90542,31.32559767,1468.272,0
103.90542,31.32531989,1462.784,0
103.90542,31.32504211,1456.862,0
103.90542,31.32476433,1450.427,0
103.90542,31.32448656,1443.915,0
103.90542,31.32420878,1437.403,0
103.90542,31.323931,1433.022,0
103.90542,31.32365322,1429.043,0
103.90542,31.32337544,1425.046,0
103.90542,31.32309767,1426.985,0
103.90542,31.32281989,1429.551,0
103.90542,31.32254211,1432.473,0
103.90542,31.32226433,1429.948,0
103.90542,31.32198656,1426.871,0
103.90542,31.32170878,1423.457,0
103.90542,31.321431,1418.686,0
103.90542,31.32115322,1413.706,0
103.90542,31.32087544,1408.71,0
103.90542,31.32059767,1402.013,0
103.90542,31.32031989,1394.579,0
103.90542,31.32004211,1387.501,0
103.90542,31.31976433,1383.895,0
103.90542,31.31948656,1380.895,0
103.90542,31.31920878,1378.329,0
103.90542,31.318931,1366.902,0
103.90542,31.31865322,1353.899,0
103.90542,31.31837544,1341.313,0
103.90542,31.31809767,1341.941,0
103.90542,31.31781989,1344.503,0
103.90542,31.31754211,1347.405,0
103.90542,31.31726433,1351.27,0
103.90542,31.31698656,1354.86,0
103.90542,31.31670878,1358.786,0
103.90542,31.316431,1360.302,0
103.90542,31.31615322,1361.353,0
103.90542,31.31587544,1362.401,0
103.90542,31.31559767,1378.68,0
103.90542,31.31531989,1397.659,0
103.90542,31.31504211,1416.656,0
103.90542,31.31476433,1434.373,0
103.90542,31.31448656,1451.447,0
103.90542,31.31420878,1468.447,0
103.90542,31.313931,1484.164,0
103.90542,31.31365322,1499.652,0
103.90542,31.31337544,1515.14,0
103.90542,31.31309767,1527.669,0
