x,y
36.0,627.0
36.0,621.0
36.0,615.0
36.0,609.0
36.0,603.0
36.0,597.0
36.0,591.0
36.0,585.0
36.0,579.0
36.0,573.0
36.0,567.0
36.0,21.0
36.0,15.0
39.0,1218.0
39.0,1212.0
39.0,1206.0
39.0,1200.0
39.0,1194.0
39.0,1188.0
39.0,1182.0
39.0,744.0
39.0,738.0
39.0,732.0
39.0,726.0
39.0,720.0
39.0,678.0
39.0,672.0
39.0,666.0
39.0,660.0
39.0,654.0
39.0,648.0
39.0,642.0
39.0,636.0
39.0,630.0
39.0,624.0
39.0,618.0
39.0,612.0
39.0,606.0
39.0,600.0
39.0,594.0
39.0,588.0
39.0,582.0
39.0,576.0
39.0,570.0
39.0,264.0
39.0,258.0
39.0,252.0
39.0,246.0
42.0,1449.0
42.0,1443.0
42.0,1437.0
42.0,1185.0
42.0,903.0
42.0,897.0
42.0,831.0
42.0,825.0
42.0,711.0
42.0,705.0
42.0,699.0
42.0,681.0
42.0,675.0
42.0,669.0
42.0,663.0
42.0,657.0
42.0,651.0
42.0,645.0
42.0,639.0
42.0,633.0
42.0,627.0
42.0,621.0
42.0,615.0
42.0,609.0
42.0,603.0
42.0,597.0
42.0,591.0
42.0,585.0
42.0,579.0
42.0,573.0
42.0,567.0
42.0,27.0
42.0,21.0
42.0,15.0
42.0,9.0
45.0,1212.0
45.0,1206.0
45.0,1200.0
45.0,1194.0
45.0,1188.0
45.0,1182.0
45.0,1038.0
45.0,690.0
45.0,684.0
45.0,678.0
45.0,672.0
45.0,666.0
45.0,660.0
45.0,654.0
45.0,648.0
45.0,642.0
45.0,636.0
45.0,624.0
45.0,618.0
45.0,612.0
45.0,606.0
45.0,600.0
45.0,594.0
45.0,588.0
45.0,582.0
45.0,576.0
45.0,570.0
45.0,288.0
45.0,282.0
45.0,276.0
45.0,270.0
45.0,264.0
45.0,258.0
45.0,252.0
45.0,246.0
45.0,240.0
48.0,1449.0
48.0,1443.0
48.0,1437.0
48.0,909.0
48.0,903.0
48.0,897.0
48.0,837.0
48.0,831.0
48.0,825.0
48.0,699.0
48.0,693.0
48.0,687.0
48.0,681.0
48.0,675.0
48.0,669.0
48.0,663.0
48.0,657.0
48.0,651.0
48.0,645.0
48.0,639.0
48.0,633.0
48.0,627.0
48.0,621.0
48.0,615.0
48.0,609.0
48.0,603.0
48.0,597.0
48.0,591.0
48.0,585.0
48.0,579.0
48.0,27.0
48.0,21.0
48.0,15.0
51.0,1194.0
51.0,1188.0
51.0,1182.0
